,Feature,Importance
874,DistanceMatrix.11,0
875,AtomTypeEState,0
876,AtomTypeEState.1,0
877,AtomTypeEState.2,0
878,AtomTypeEState.3,0
879,AtomTypeEState.4,0
880,AtomTypeEState.5,0
881,AtomTypeEState.6,0
882,AtomTypeEState.7,0
883,AtomTypeEState.8,0
884,AtomTypeEState.9,0
885,AtomTypeEState.10,0
886,AtomTypeEState.11,0
887,AtomTypeEState.12,0
888,AtomTypeEState.13,0
889,AtomTypeEState.14,0
890,AtomTypeEState.15,0
891,AtomTypeEState.16,0
892,AtomTypeEState.17,0
893,AtomTypeEState.18,0
894,AtomTypeEState.19,0
895,AtomTypeEState.20,4
896,AtomTypeEState.21,0
897,AtomTypeEState.22,0
898,AtomTypeEState.23,0
899,AtomTypeEState.24,0
900,AtomTypeEState.25,0
901,AtomTypeEState.26,0
902,AtomTypeEState.27,0
903,AtomTypeEState.28,1
904,AtomTypeEState.29,0
905,AtomTypeEState.30,0
906,AtomTypeEState.31,0
907,AtomTypeEState.32,0
908,AtomTypeEState.33,0
909,AtomTypeEState.34,0
910,AtomTypeEState.35,0
911,AtomTypeEState.36,0
912,AtomTypeEState.37,0
913,AtomTypeEState.38,0
914,AtomTypeEState.39,0
915,AtomTypeEState.40,0
916,AtomTypeEState.41,0
917,AtomTypeEState.42,0
918,AtomTypeEState.43,0
919,AtomTypeEState.44,0
920,AtomTypeEState.45,0
921,AtomTypeEState.46,0
922,AtomTypeEState.47,0
923,AtomTypeEState.48,0
924,AtomTypeEState.49,0
925,AtomTypeEState.50,0
926,AtomTypeEState.51,0
927,AtomTypeEState.52,0
928,AtomTypeEState.53,0
929,AtomTypeEState.54,0
930,AtomTypeEState.55,0
931,AtomTypeEState.56,0
932,AtomTypeEState.57,0
933,AtomTypeEState.58,0
934,AtomTypeEState.59,0
935,AtomTypeEState.60,0
936,AtomTypeEState.61,0
937,AtomTypeEState.62,0
938,AtomTypeEState.63,0
939,AtomTypeEState.64,0
940,AtomTypeEState.65,0
941,AtomTypeEState.66,0
942,AtomTypeEState.67,0
943,AtomTypeEState.68,0
944,AtomTypeEState.69,0
945,AtomTypeEState.70,0
946,AtomTypeEState.71,0
947,AtomTypeEState.72,0
948,AtomTypeEState.73,0
949,AtomTypeEState.74,0
950,AtomTypeEState.75,0
951,AtomTypeEState.76,0
952,AtomTypeEState.77,0
953,AtomTypeEState.78,0
954,AtomTypeEState.79,0
955,AtomTypeEState.80,0
956,AtomTypeEState.81,0
957,AtomTypeEState.82,0
958,AtomTypeEState.83,0
959,AtomTypeEState.84,0
960,AtomTypeEState.85,1
961,AtomTypeEState.86,0
962,AtomTypeEState.87,4
963,AtomTypeEState.88,0
964,AtomTypeEState.89,0
965,AtomTypeEState.90,2
966,AtomTypeEState.91,2
967,AtomTypeEState.92,0
968,AtomTypeEState.93,0
969,AtomTypeEState.94,4
970,AtomTypeEState.95,9
971,AtomTypeEState.96,3
972,AtomTypeEState.97,5
973,AtomTypeEState.98,0
974,AtomTypeEState.99,0
975,AtomTypeEState.100,0
976,AtomTypeEState.101,0
977,AtomTypeEState.102,1
978,AtomTypeEState.103,0
979,AtomTypeEState.104,0
980,AtomTypeEState.105,0
981,AtomTypeEState.106,0
982,AtomTypeEState.107,0
983,AtomTypeEState.108,4
984,AtomTypeEState.109,0
985,AtomTypeEState.110,0
986,AtomTypeEState.111,0
987,AtomTypeEState.112,42
988,AtomTypeEState.113,0
989,AtomTypeEState.114,0
990,AtomTypeEState.115,0
991,AtomTypeEState.116,0
992,AtomTypeEState.117,0
993,AtomTypeEState.118,0
994,AtomTypeEState.119,0
995,AtomTypeEState.120,0
996,AtomTypeEState.121,0
997,AtomTypeEState.122,0
998,AtomTypeEState.123,0
999,AtomTypeEState.124,0
1000,AtomTypeEState.125,0
1001,AtomTypeEState.126,0
1002,AtomTypeEState.127,0
1003,AtomTypeEState.128,0
1004,AtomTypeEState.129,0
1005,AtomTypeEState.130,0
1006,AtomTypeEState.131,0
1007,AtomTypeEState.132,0
1008,AtomTypeEState.133,0
1009,AtomTypeEState.134,0
1010,AtomTypeEState.135,0
1011,AtomTypeEState.136,0
1012,AtomTypeEState.137,0
1013,AtomTypeEState.138,0
1014,AtomTypeEState.139,0
1015,AtomTypeEState.140,0
1016,AtomTypeEState.141,0
1017,AtomTypeEState.142,0
1018,AtomTypeEState.143,0
1019,AtomTypeEState.144,0
1020,AtomTypeEState.145,0
1021,AtomTypeEState.146,0
1022,AtomTypeEState.147,0
1023,AtomTypeEState.148,0
1024,AtomTypeEState.149,0
1025,AtomTypeEState.150,0
1026,AtomTypeEState.151,0
1027,AtomTypeEState.152,0
1028,AtomTypeEState.153,0
1029,AtomTypeEState.154,0
1030,AtomTypeEState.155,0
1031,AtomTypeEState.156,0
1032,AtomTypeEState.157,0
1033,AtomTypeEState.170,11
1034,AtomTypeEState.173,12
1035,AtomTypeEState.192,2
1036,AtomTypeEState.249,16
1037,AtomTypeEState.252,7
1038,AtomTypeEState.271,22
1039,EccentricConnectivityIndex,0
1040,EtaCoreCount,0
1041,EtaCoreCount.1,2
1042,EtaShapeIndex,0
1043,EtaShapeIndex.1,0
1044,EtaShapeIndex.2,0
1045,EtaVEMCount,2
1046,EtaVEMCount.1,0
1047,EtaVEMCount.2,0
1048,EtaVEMCount.3,23
1049,EtaVEMCount.4,0
1050,EtaVEMCount.5,0
1051,EtaVEMCount.6,4
1052,EtaVEMCount.7,3
1053,EtaCompositeIndex,0
1054,EtaCompositeIndex.1,6
