,Feature,Importance
778,Morgan_fp_778,0
779,Morgan_fp_779,0
780,Morgan_fp_780,0
781,Morgan_fp_781,5
782,Morgan_fp_782,0
783,Morgan_fp_783,0
784,Morgan_fp_784,3
785,Morgan_fp_785,0
786,Morgan_fp_786,0
787,Morgan_fp_787,0
788,Morgan_fp_788,0
789,Morgan_fp_789,0
790,Morgan_fp_790,0
791,Morgan_fp_791,0
792,Morgan_fp_792,0
793,Morgan_fp_793,0
794,Morgan_fp_794,0
795,Morgan_fp_795,0
796,Morgan_fp_796,0
797,Morgan_fp_797,0
798,Morgan_fp_798,3
799,Morgan_fp_799,0
800,Morgan_fp_800,0
801,Morgan_fp_801,0
802,Morgan_fp_802,0
803,Morgan_fp_803,0
804,Morgan_fp_804,0
805,Morgan_fp_805,0
806,Morgan_fp_806,0
807,Morgan_fp_807,0
808,Morgan_fp_808,0
809,Morgan_fp_809,0
810,Morgan_fp_810,0
811,Morgan_fp_811,2
812,Morgan_fp_812,0
813,Morgan_fp_813,0
814,Morgan_fp_814,0
815,Morgan_fp_815,0
816,Morgan_fp_816,1
817,Morgan_fp_817,0
818,Morgan_fp_818,0
819,Morgan_fp_819,0
820,Morgan_fp_820,6
821,Morgan_fp_821,0
822,Morgan_fp_822,0
823,Morgan_fp_823,3
824,Morgan_fp_824,0
825,Morgan_fp_825,0
826,Morgan_fp_826,0
827,Morgan_fp_827,0
828,Morgan_fp_828,0
829,Morgan_fp_829,0
830,Morgan_fp_830,0
831,Morgan_fp_831,0
832,Morgan_fp_832,4
833,Morgan_fp_833,0
834,Morgan_fp_834,0
835,Morgan_fp_835,0
836,Morgan_fp_836,0
837,Morgan_fp_837,0
838,Morgan_fp_838,0
839,Morgan_fp_839,0
840,Morgan_fp_840,0
841,Morgan_fp_841,5
842,Morgan_fp_842,0
843,Morgan_fp_843,0
844,Morgan_fp_844,0
845,Morgan_fp_845,0
846,Morgan_fp_846,0
847,Morgan_fp_847,0
848,Morgan_fp_848,0
849,Morgan_fp_849,0
850,Morgan_fp_850,0
851,Morgan_fp_851,0
852,Morgan_fp_852,0
853,Morgan_fp_853,0
854,Morgan_fp_854,0
855,Morgan_fp_855,0
856,Morgan_fp_856,0
857,Morgan_fp_857,1
858,Morgan_fp_858,0
859,Morgan_fp_859,0
860,Morgan_fp_860,0
861,Morgan_fp_861,0
862,Morgan_fp_862,0
863,Morgan_fp_863,0
864,Morgan_fp_864,0
865,Morgan_fp_865,0
866,Morgan_fp_866,0
867,Morgan_fp_867,0
868,Morgan_fp_868,0
869,Morgan_fp_869,0
870,Morgan_fp_870,0
871,Morgan_fp_871,0
872,Morgan_fp_872,0
873,Morgan_fp_873,0
874,Morgan_fp_874,0
875,Morgan_fp_875,0
876,Morgan_fp_876,0
877,Morgan_fp_877,0
878,Morgan_fp_878,0
879,Morgan_fp_879,0
880,Morgan_fp_880,0
881,Morgan_fp_881,0
882,Morgan_fp_882,0
883,Morgan_fp_883,0
884,Morgan_fp_884,0
885,Morgan_fp_885,0
886,Morgan_fp_886,0
887,Morgan_fp_887,0
